Location,Menu_Item,Energy (KCAL),Protein (G),Total lipid(fat) (G),Carbohydrate (G),Fiber (G),Sodium (MG),Cholesterol (MG)
10,Mixed Green Salad,103.0,0.64,8.97,5.13,1.3,128.0,0.0
108,Grilled Portobello Mushroom Burger ,129.2608695652174,5.487500000000001,5.010416666666667,14.608333333333334,1.8499999999999999,329.9583333333333,17.652173913043477
60,Lollipops,387.6,0.0,0.18291666666666664,96.29839999999999,0.0,15.291666666666666,0.0
108,Asian Pear Salad,204.6,3.386,10.245000000000001,25.104,3.466666666666667,278.8,0.0
10,Grilled Chicken Fresh Strawberry Salad,195.2,10.563333333333334,11.983333333333336,10.98333333333333,1.1133333333333335,396.3333333333333,37.0
85,Albacore Tuna Melt Panini,157.58333333333334,24.609130434782607,6.388750000000001,1.0847619047619046,0.19999999999999998,254.16666666666666,34.333333333333336
85,Southwest Wrap,188.83333333333334,13.668333333333335,8.040000000000001,17.455,1.9000000000000001,506.6666666666667,31.6
10,Pretzel Bites,378.0,6.885,11.315,63.07,2.15,457.0,0.0
108,N Y Steak,141.4,11.32,7.359999999999999,9.5525,0.55,6808.2,39.75
10,Clubhouse Cowboy Steak ,309.0,10.348,14.254999999999999,38.0,1.65,2510.8,66.5
10,Corned Beef Hash Eggs,136.56,6.347999999999998,8.6392,8.065199999999999,0.6880000000000002,346.16,24.24
108,Penne Bolognese,116.25,4.819999999999999,6.282500000000001,10.464999999999998,1.325,108716.0,2223.5
60,Add a Topping to Your Large Pizza for ,67.0,3.59,2.155,18.375,1.9,4548.5,14.0
85,Southwestern Egg Rolls,73.4,8.552000000000001,3.095,7.046000000000001,1.0333333333333334,335.8,6.5
108,Route Baby Back Ribs ,278.16,11.624800000000002,15.911200000000001,21.336800000000004,1.0318181818181817,515.04,40.04
125,Lollipops,389.28,0.0,0.18291666666666664,96.04839999999999,0.0,28.291666666666668,0.0
108,Soda,39.73684210526316,0.0,0.0,10.363157894736842,0.0,11.631578947368421,0.0
85,Potato Skins,254.75,6.92375,16.38875,19.955000000000002,2.125,407.375,20.75
10,Cakes,405.6666666666667,4.536666666666666,21.30666666666667,52.196666666666665,2.9666666666666663,318.0,64.66666666666667
108,Hot House Cucumber Tomato Salad ,164.33333333333334,2.78,11.488181818181818,15.209166666666667,1.0250000000000001,589.8333333333334,1.1818181818181819
85,Iced Cinnamon Sticks,250.0,0.0,0.0,75.0,50.0,0.0,0.0
108,Carne Asada Pizza,137.20833333333334,8.385416666666666,5.260526315789474,20.223809523809525,2.2071428571428573,4530.791666666667,20.625
